Node,Depth,Value,Alpha,Beta
A1,3,4,5,35
C3,2,4,5,35
B1,3,0,5,35
C3,2,4,5,35
A2,3,4,5,35
C3,2,4,5,35
B2,3,-4,5,35
C3,2,4,5,35
A3,3,12,5,35
C3,2,12,12,35
B3,3,32,12,35
C3,2,32,32,35
E3,3,-15,32,35
C3,2,32,32,35
A4,3,4,32,35
C3,2,32,32,35
B4,3,-4,32,35
C3,2,32,32,35
E4,3,-14,32,35
C3,2,32,32,35
A5,3,9,32,35
C3,2,32,32,35
B5,3,14,32,35
C3,2,32,32,35
C5,3,7,32,35
C3,2,32,32,35
D5,3,5,32,35
C3,2,32,32,35
E5,3,-6,32,35
C3,2,32,32,35
E1,1,32,5,32
E3,2,-Infinity,5,32
A1,3,32,5,32
E3,2,32,5,32
E1,1,32,5,32
A4,2,-Infinity,5,32
A1,3,15,5,32
A4,2,15,15,32
B1,3,11,15,32
A4,2,15,15,32
A2,3,15,15,32
A4,2,15,15,32
B2,3,7,15,32
A4,2,15,15,32
A3,3,23,15,32
A4,2,23,23,32
B3,3,43,23,32
A4,2,43,23,32
E1,1,32,5,32
B4,2,-Infinity,5,32
A1,3,23,5,32
B4,2,23,23,32
B1,3,19,23,32
B4,2,23,23,32
A2,3,23,23,32
B4,2,23,23,32
B2,3,15,23,32
B4,2,23,23,32
A3,3,31,23,32
B4,2,31,31,32
B3,3,51,31,32
B4,2,51,31,32
E1,1,32,5,32
E4,2,-Infinity,5,32
A1,3,33,5,32
E4,2,33,5,32
E1,1,32,5,32
A5,2,-Infinity,5,32
A1,3,10,5,32
A5,2,10,10,32
B1,3,6,10,32
A5,2,10,10,32
A2,3,10,10,32
A5,2,10,10,32
B2,3,2,10,32
A5,2,10,10,32
A3,3,18,10,32
A5,2,18,18,32
B3,3,38,18,32
A5,2,38,18,32
E1,1,32,5,32
B5,2,-Infinity,5,32
A1,3,5,5,32
B5,2,5,5,32
B1,3,1,5,32
B5,2,5,5,32
A2,3,5,5,32
B5,2,5,5,32
B2,3,-3,5,32
B5,2,5,5,32
A3,3,13,5,32
B5,2,13,13,32
B3,3,33,13,32
B5,2,33,13,32
E1,1,32,5,32
C5,2,-Infinity,5,32
A1,3,12,5,32
C5,2,12,12,32
B1,3,8,12,32
C5,2,12,12,32
A2,3,12,12,32
C5,2,12,12,32
B2,3,4,12,32
C5,2,12,12,32
A3,3,20,12,32
C5,2,20,20,32
B3,3,40,20,32
C5,2,40,20,32
E1,1,32,5,32
D5,2,-Infinity,5,32
A1,3,14,5,32
D5,2,14,14,32
B1,3,10,14,32
D5,2,14,14,32
A2,3,14,14,32
D5,2,14,14,32
B2,3,6,14,32
D5,2,14,14,32
A3,3,22,14,32
D5,2,22,22,32
B3,3,42,22,32
D5,2,42,22,32
E1,1,32,5,32
E5,2,-Infinity,5,32
A1,3,25,5,32
E5,2,25,25,32
B1,3,21,25,32
E5,2,25,25,32
A2,3,25,25,32
E5,2,25,25,32
B2,3,17,25,32
E5,2,25,25,32
A3,3,33,25,32
E5,2,33,25,32
E1,1,32,5,32
root,0,32,32,Infinity
A2,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,1,32,Infinity
A1,2,1,32,Infinity
E1,3,15,32,Infinity
A1,2,15,32,Infinity
B2,3,1,32,Infinity
A1,2,15,32,Infinity
A3,3,13,32,Infinity
A1,2,15,32,Infinity
B3,3,33,32,Infinity
A1,2,33,33,Infinity
C3,3,-2,33,Infinity
A1,2,33,33,Infinity
E3,3,2,33,Infinity
A1,2,33,33,Infinity
A4,3,5,33,Infinity
A1,2,33,33,Infinity
B4,3,-3,33,Infinity
A1,2,33,33,Infinity
E4,3,-13,33,Infinity
A1,2,33,33,Infinity
A5,3,10,33,Infinity
A1,2,33,33,Infinity
B5,3,15,33,Infinity
A1,2,33,33,Infinity
C5,3,8,33,Infinity
A1,2,33,33,Infinity
D5,3,6,33,Infinity
A1,2,33,33,Infinity
